Week,Business Unit,Awareness,Consideration,Purchase
03-29-2020,iTrade,80281,0,0
04-05-2020,iTrade,80600,0,0
04-12-2020,iTrade,62205,0,0
04-19-2020,iTrade,71454,0,0
04-26-2020,iTrade,67387,0,0
05-03-2020,iTrade,54179,3190,1503
05-10-2020,iTrade,54145,2977,1368
05-17-2020,iTrade,55658,2585,1168
05-24-2020,iTrade,51341,2585,1168
05-31-2020,iTrade,53168,2709,1223
06-07-2020,iTrade,54129,3312,1543
06-14-2020,iTrade,49123,2608,1049
06-21-2020,iTrade,57056,2608,1049
06-28-2020,iTrade,48423,2185,897
07-05-2020,iTrade,49983,2185,897
07-12-2020,iTrade,48146,2445,1023
07-19-2020,iTrade,49274,2274,905
07-26-2020,iTrade,49198,2403,776
08-02-2020,iTrade,62354,2251,920
08-09-2020,iTrade,49082,2485,1033
08-16-2020,iTrade,51588,2485,1033
08-23-2020,iTrade,53809,2697,1052
08-30-2020,iTrade,58362,2555,1040
09-06-2020,iTrade,45505,2947,1290
09-13-2020,iTrade,46907,1950,841
09-20-2020,iTrade,42649,2065,909
09-27-2020,iTrade,44363,1819,762
10-04-2020,iTrade,51961,1799,799
10-11-2020,iTrade,46576,1785,788
10-18-2020,iTrade,44872,1855,806
10-25-2020,iTrade,41943,1931,769
11-01-2020,iTrade,44738,1879,786
11-08-2020,iTrade,69352,3103,1200
11-15-2020,iTrade,60757,3103,1200
11-22-2020,iTrade,71480,3172,1130
11-29-2020,iTrade,64953,3972,1622
12-06-2020,iTrade,64845,3751,1494
12-13-2020,iTrade,61455,3950,1689
12-20-2020,iTrade,57956,3417,1413
12-27-2020,iTrade,75931,2537,1094
01-03-2021,iTrade,80240,5233,2245
01-10-2021,iTrade,79683,5571,2301
01-17-2021,iTrade,75398,5571,2301
01-24-2021,iTrade,126208,5057,2139
01-31-2021,iTrade,105274,7909,3497
02-07-2021,iTrade,103024,7909,3497
02-14-2021,iTrade,82405,7103,3310
02-21-2021,iTrade,83922,5366,2542
02-28-2021,iTrade,73590,5591,2596
03-07-2021,iTrade,68682,3911,1783
03-14-2021,iTrade,62341,3423,1550
03-21-2021,iTrade,51901,2898,1214
03-28-2021,iTrade,49920,1867,815
04-04-2021,iTrade,51931,1867,815
04-11-2021,iTrade,50393,2065,832
04-18-2021,iTrade,48578,2361,1032
04-25-2021,iTrade,51008,2145,891
05-02-2021,iTrade,54528,2225,939
05-09-2021,iTrade,49673,2305,982
05-16-2021,iTrade,46197,2060,887
05-23-2021,iTrade,46271,1801,776
05-30-2021,iTrade,48659,1804,856
06-06-2021,iTrade,47316,2126,986
06-13-2021,iTrade,44110,1988,954
06-20-2021,iTrade,43003,1766,702
06-27-2021,iTrade,44744,1501,662
07-04-2021,iTrade,42146,1295,584
07-11-2021,iTrade,38504,1405,610
07-18-2021,iTrade,40569,1415,615
07-25-2021,iTrade,38258,1261,526
08-01-2021,iTrade,39278,1247,533
08-08-2021,iTrade,40434,1168,512
08-15-2021,iTrade,36443,1333,556
08-22-2021,iTrade,44109,1307,565
08-29-2021,iTrade,48013,1307,565
09-05-2021,iTrade,41349,1367,587
09-12-2021,iTrade,40724,1157,527
09-19-2021,iTrade,43043,1377,599
09-26-2021,iTrade,43792,1381,563
10-03-2021,iTrade,47393,1381,563
10-10-2021,iTrade,44412,1380,572
10-17-2021,iTrade,49472,1242,543
10-24-2021,iTrade,47799,1904,834
10-31-2021,iTrade,48069,1796,772
11-07-2021,iTrade,51454,1979,836
11-14-2021,iTrade,45737,1891,822
11-21-2021,iTrade,45183,1772,749
11-28-2021,iTrade,42499,1784,746
12-05-2021,iTrade,41765,1681,741
12-12-2021,iTrade,67016,1480,623
12-19-2021,iTrade,44367,1716,649
12-26-2021,iTrade,46674,1322,577
01-02-2022,iTrade,50863,1253,580
01-09-2022,iTrade,66233,1815,839
01-16-2022,iTrade,60151,2012,927
01-23-2022,iTrade,62514,2012,855
01-30-2022,iTrade,58189,2286,1065
02-06-2022,iTrade,55090,1942,940
02-13-2022,iTrade,47939,1901,903
02-20-2022,iTrade,46548,1698,796
02-27-2022,iTrade,53121,1881,965
03-06-2022,iTrade,50570,2014,909
03-13-2022,iTrade,50570,1728,794
03-20-2022,iTrade,46144,1488,635
03-27-2022,iTrade,45346,1581,643
04-03-2022,iTrade,38350,1568,733
04-10-2022,iTrade,34435,1298,548
04-17-2022,iTrade,37633,1107,429
04-24-2022,iTrade,37226,1400,540
05-01-2022,iTrade,56418,1395,534
05-08-2022,iTrade,44314,1318,486
05-15-2022,iTrade,39427,1717,424
05-22-2022,iTrade,34620,1734,374
05-29-2022,iTrade,36598,1400,341
06-05-2022,iTrade,36380,1308,509
06-12-2022,iTrade,36886,1297,544
06-19-2022,iTrade,32515,1214,508
06-26-2022,iTrade,27746,1110,479
07-03-2022,iTrade,30144,923,376
07-10-2022,iTrade,28820,1064,408
07-17-2022,iTrade,30559,1029,440
07-24-2022,iTrade,35208,1086,438
07-31-2022,iTrade,30487,985,386
08-07-2022,iTrade,37321,956,424
08-14-2022,iTrade,35845,1210,476
08-21-2022,iTrade,29579,1260,527
08-28-2022,iTrade,30277,1242,485
03-29-2020,Wealth,6134,296,33
04-05-2020,Wealth,5611,266,27
04-12-2020,Wealth,4363,206,27
04-19-2020,Wealth,6686,272,35
04-26-2020,Wealth,5045,270,35
05-03-2020,Wealth,3897,228,32
05-10-2020,Wealth,4269,225,20
05-17-2020,Wealth,4173,184,21
05-24-2020,Wealth,4713,225,15
05-31-2020,Wealth,4530,221,18
06-07-2020,Wealth,4304,202,27
06-14-2020,Wealth,4197,203,17
06-21-2020,Wealth,3901,184,23
06-28-2020,Wealth,4489,160,18
07-05-2020,Wealth,4716,191,26
07-12-2020,Wealth,4252,183,17
07-19-2020,Wealth,4215,184,21
07-26-2020,Wealth,4106,193,21
08-02-2020,Wealth,3996,173,21
08-09-2020,Wealth,4157,209,23
08-16-2020,Wealth,4072,188,25
08-23-2020,Wealth,4096,208,40
08-30-2020,Wealth,4654,212,29
09-06-2020,Wealth,3988,181,24
09-13-2020,Wealth,4309,201,25
09-20-2020,Wealth,4657,167,19
09-27-2020,Wealth,4554,193,28
10-04-2020,Wealth,4801,208,23
10-11-2020,Wealth,3886,148,0
10-18-2020,Wealth,4028,197,22
10-25-2020,Wealth,3894,216,25
11-01-2020,Wealth,3831,159,18
11-08-2020,Wealth,4190,171,18
11-15-2020,Wealth,4209,204,19
11-22-2020,Wealth,4312,189,27
11-29-2020,Wealth,4600,219,28
12-06-2020,Wealth,5196,203,24
12-13-2020,Wealth,4916,191,14
12-20-2020,Wealth,3235,126,14
12-27-2020,Wealth,3383,135,14
01-03-2021,Wealth,5024,252,28
01-10-2021,Wealth,4967,221,38
01-17-2021,Wealth,4824,207,31
01-24-2021,Wealth,5232,261,17
01-31-2021,Wealth,5960,288,45
02-07-2021,Wealth,6089,271,37
02-14-2021,Wealth,7414,250,34
02-21-2021,Wealth,6428,300,39
02-28-2021,Wealth,6474,283,57
03-07-2021,Wealth,6529,322,51
03-14-2021,Wealth,6093,311,25
03-21-2021,Wealth,5671,281,33
03-28-2021,Wealth,5109,243,31
04-04-2021,Wealth,5579,264,32
04-11-2021,Wealth,5387,278,31
04-18-2021,Wealth,5563,277,27
04-25-2021,Wealth,5848,256,26
05-02-2021,Wealth,5161,231,26
05-09-2021,Wealth,5148,269,28
05-16-2021,Wealth,4716,247,28
05-23-2021,Wealth,4491,201,37
05-30-2021,Wealth,4739,193,32
06-06-2021,Wealth,4728,201,28
06-13-2021,Wealth,4595,210,29
06-20-2021,Wealth,4103,191,24
06-27-2021,Wealth,3496,160,22
07-04-2021,Wealth,4348,188,23
07-11-2021,Wealth,4491,215,30
07-18-2021,Wealth,4286,224,27
07-25-2021,Wealth,3567,188,31
08-01-2021,Wealth,3547,171,23
08-08-2021,Wealth,4584,213,33
08-15-2021,Wealth,4290,168,21
08-22-2021,Wealth,4702,178,30
08-29-2021,Wealth,4221,180,26
09-05-2021,Wealth,4012,154,27
09-12-2021,Wealth,4314,184,45
09-19-2021,Wealth,3983,171,18
09-26-2021,Wealth,3815,168,33
10-03-2021,Wealth,4328,189,28
10-10-2021,Wealth,4218,184,33
10-17-2021,Wealth,4372,172,29
10-24-2021,Wealth,4000,219,35
10-31-2021,Wealth,3859,250,32
11-07-2021,Wealth,4085,247,29
11-14-2021,Wealth,4003,238,26
11-21-2021,Wealth,3906,259,33
11-28-2021,Wealth,3645,269,24
12-05-2021,Wealth,3924,247,37
12-12-2021,Wealth,4048,226,30
12-19-2021,Wealth,3706,200,21
12-26-2021,Wealth,3614,175,22
01-02-2022,Wealth,4172,236,39
01-09-2022,Wealth,4471,247,45
01-16-2022,Wealth,5343,297,62
01-23-2022,Wealth,5210,312,52
01-30-2022,Wealth,6519,377,56
02-06-2022,Wealth,6477,343,47
02-13-2022,Wealth,5960,354,46
02-20-2022,Wealth,5597,302,63
02-27-2022,Wealth,5674,256,49
03-06-2022,Wealth,5708,261,46
03-13-2022,Wealth,6076,334,50
03-20-2022,Wealth,5825,281,53
03-27-2022,Wealth,5122,262,33
04-03-2022,Wealth,6722,385,47
04-10-2022,Wealth,6576,316,38
04-17-2022,Wealth,4813,280,46
04-24-2022,Wealth,4825,248,43
05-01-2022,Wealth,4974,369,58
05-08-2022,Wealth,5173,554,89
05-15-2022,Wealth,4388,328,39
05-22-2022,Wealth,4141,270,24
05-29-2022,Wealth,5416,403,35
06-05-2022,Wealth,5040,341,45
06-12-2022,Wealth,5175,460,59
06-19-2022,Wealth,4950,426,47
06-26-2022,Wealth,4721,388,27
07-03-2022,Wealth,4982,524,36
07-10-2022,Wealth,5117,636,68
07-17-2022,Wealth,5969,641,69
07-24-2022,Wealth,22965,1378,84
07-31-2022,Wealth,24926,1313,85
08-07-2022,Wealth,19300,1201,76
08-14-2022,Wealth,18031,1056,75
08-21-2022,Wealth,17431,947,73
08-28-2022,Wealth,24994,1347,76
